property_id,area_name,latitude,longitude,plot_size_sqft,bhk,property_age_years,floor_number,furnishing_status,rera_registered,listed_price,actual_fair_value,zone_type,has_parking,has_garden,dist_railway_station_km,dist_airport_km,dist_city_center_km,dist_db_mall_km,dist_aiims_km,dist_manit_km,dist_upper_lake_km,dist_lower_lake_km,zone_price_index,furnishing_semi,furnishing_fully
26,Shahpura,23.207683,77.436634,3289,3,4,9,fully-furnished,0,32204043.77,31263180.56,residential,True,False,7.22,13.46,6.28,3.8,4.21,2.61,5.64,7.72,4.74,0,1
27,Govindpura,23.265563,77.481766,1756,3,4,4,unfurnished,1,14693862.1,10789828.29,residential,True,False,7.22,14.97,7.11,5.4,8.55,8.98,8.06,12.36,3.86,0,0
28,Bairagarh,23.270233,77.332884,1528,4,3,6,fully-furnished,1,8944850.83,8704253.97,budget,True,False,8.03,1.97,8.24,10.97,8.54,10.16,7.73,5.37,0.7,0,1
29,MP Nagar,23.227972,77.437897,3126,4,8,13,semi-furnished,1,35042077.36,35103434.83,commercial,True,False,5.25,12.22,4.38,1.57,3.31,2.93,4.12,7.35,7.37,1,0
30,Misrod,23.159466,77.504134,1195,2,20,6,unfurnished,0,6041591.95,4458894.47,residential,False,False,15.37,22.19,14.54,11.52,12.93,11.25,14.22,16.29,3.86,0,0
31,MP Nagar,23.237941,77.435218,1550,2,9,20,semi-furnished,1,17734830.45,17711228.17,commercial,False,False,4.18,11.42,3.36,0.45,3.04,3.39,3.34,7.08,7.37,1,0
32,DB City Road,23.239533,77.436385,2656,4,16,18,semi-furnished,1,24616901.81,24473963.46,commercial,False,False,4.11,11.44,3.32,0.28,3.19,3.6,3.39,7.21,3.86,1,0
33,Shahpura,23.206827,77.421124,972,1,19,4,semi-furnished,0,6186078.73,5966166.36,residential,True,True,6.9,12.38,5.94,4.17,3.29,1.31,5.0,6.31,4.74,1,0
34,DB City Road,23.228527,77.444942,1484,5,14,25,unfurnished,0,14970138.59,14935640.48,commercial,False,False,5.61,12.8,4.8,1.77,4.02,3.61,4.7,8.06,3.86,0,0
35,Hoshangabad Road,23.209936,77.46319,2196,3,2,8,fully-furnished,1,25810674.74,26641568.9,commercial,False,True,8.38,15.48,7.58,4.54,6.39,5.22,7.39,10.24,5.96,0,1
36,Bittan Market,23.248255,77.432888,2746,3,16,15,semi-furnished,1,28424718.52,20389981.44,commercial,True,False,3.15,10.69,2.44,0.75,3.23,4.17,2.86,7.02,3.86,1,0
37,Piplani,23.213414,77.493468,3297,1,17,2,semi-furnished,0,10187202.68,10117310.81,budget,True,True,10.39,17.96,9.75,6.72,9.21,8.28,9.89,13.19,3.86,1,0
38,Arera Colony,23.230674,77.430896,1184,1,5,18,fully-furnished,1,19013351.83,18536805.41,premium_residential,True,False,4.64,11.45,3.74,1.34,2.56,2.51,3.37,6.62,10.0,0,1
39,Piplani,23.203847,77.490211,2701,2,12,5,semi-furnished,0,11872055.81,11557328.5,budget,True,True,10.79,18.18,10.08,7.01,9.2,8.05,10.08,13.08,3.86,1,0
40,Jahangirabad,23.25037,77.39388,2052,3,1,4,fully-furnished,1,9923576.85,9869476.71,budget,False,False,2.68,7.09,2.19,4.37,2.29,4.3,1.14,3.42,3.86,0,1
41,Piplani,23.216983,77.488165,965,3,14,7,fully-furnished,1,4367046.24,4384965.07,budget,True,False,9.72,17.29,9.08,6.05,8.59,7.74,9.24,12.6,3.86,0,1
42,Shamla Hills,23.238683,77.417193,2706,3,15,16,semi-furnished,1,41563485.6,41671992.63,premium_residential,True,True,3.36,9.79,2.4,1.92,1.31,2.6,1.72,5.25,3.86,1,0
43,Jahangirabad,23.254339,77.395677,1828,2,9,0,unfurnished,1,6450507.9,6762026.24,budget,True,True,2.24,7.0,1.84,4.31,2.59,4.63,1.1,3.83,3.86,0,0
44,Misrod,23.170358,77.503935,3197,2,15,6,semi-furnished,1,13365448.61,13540840.27,residential,True,True,14.42,21.42,13.63,10.58,12.19,10.61,13.39,15.7,3.86,1,0
45,Indrapuri,23.250765,77.462778,1164,1,18,3,semi-furnished,1,6191027.74,6337264.41,residential,False,False,5.62,13.46,5.23,2.95,6.13,6.45,5.91,10.07,2.46,1,0
46,MP Nagar,23.226846,77.435579,2096,2,11,13,semi-furnished,0,12968073.96,12859795.15,commercial,True,True,5.24,12.09,4.35,1.68,3.1,2.66,4.0,7.12,7.37,1,0
47,Shamla Hills,23.239007,77.412907,3471,2,10,2,fully-furnished,1,60625418.63,43381128.64,premium_residential,True,False,3.27,9.41,2.31,2.35,0.97,2.59,1.41,4.82,3.86,0,1
48,DB City Road,23.233173,77.447488,1646,3,18,24,fully-furnished,1,16394417.77,16345642.33,commercial,False,True,5.39,12.77,4.64,1.56,4.25,4.07,4.7,8.31,3.86,0,1
49,Arera Colony,23.233512,77.428373,2628,3,3,10,semi-furnished,1,24550849.81,25606161.38,premium_residential,True,False,4.25,11.06,3.34,1.2,2.29,2.56,2.97,6.35,10.0,1,0
50,MP Nagar,23.223254,77.426634,2743,3,2,20,fully-furnished,1,34748777.41,33289561.26,commercial,True,False,5.25,11.58,4.31,2.27,2.37,1.67,3.65,6.27,7.37,0,1
51,Govindpura,23.265385,77.487429,2655,4,10,1,unfurnished,0,16307435.99,15714677.5,residential,False,True,7.8,15.54,7.68,5.9,9.07,9.44,8.62,12.91,3.86,0,0
52,Jahangirabad,23.258632,77.399983,3269,3,14,2,unfurnished,1,15523815.81,15457581.14,budget,True,True,1.59,7.16,1.3,4.08,2.9,4.94,1.14,4.47,3.86,0,0
53,DB City Road,23.238597,77.441454,3401,2,14,18,semi-furnished,0,34187691.51,35452906.53,commercial,False,False,4.53,11.95,3.78,0.71,3.68,3.9,3.92,7.72,3.86,1,0
54,Raisen Road,23.186998,77.447549,2458,4,5,12,fully-furnished,1,33423323.78,33468983.9,premium_residential,True,True,9.76,15.84,8.83,6.21,6.64,4.78,8.17,9.75,3.86,0,1
55,Raisen Road,23.190045,77.446701,894,3,3,10,semi-furnished,0,7644868.11,7317565.59,premium_residential,True,True,9.41,15.54,8.49,5.86,6.32,4.49,7.84,9.5,3.86,1,0
56,Govindpura,23.276037,77.471682,1784,2,7,3,semi-furnished,0,11361953.27,11770947.74,residential,False,False,6.23,13.8,6.3,5.28,8.24,9.02,7.43,11.79,3.86,1,0
57,Hoshangabad Road,23.214083,77.472029,2230,2,4,4,fully-furnished,1,24224037.7,25352843.55,commercial,False,False,8.66,16.0,7.92,4.84,7.08,6.09,7.9,11.02,5.96,0,1
58,Hoshangabad Road,23.209712,77.473056,1736,2,19,10,semi-furnished,0,13380383.66,13759308.38,commercial,True,False,9.07,16.34,8.32,5.24,7.33,6.22,8.24,11.22,5.96,1,0
59,Govindpura,23.276055,77.473865,824,3,5,6,unfurnished,1,5167732.62,5189013.29,residential,True,True,6.46,14.02,6.52,5.44,8.42,9.17,7.64,12.0,3.86,0,0
60,Anand Nagar,23.271692,77.434007,2524,2,6,5,unfurnished,0,7535239.98,7775753.59,budget,True,True,2.35,10.04,2.55,3.29,5.16,6.59,3.86,8.15,3.86,0,0
61,Nehru Nagar,23.238755,77.459031,2865,2,18,2,semi-furnished,0,13265170.23,12698663.23,residential,True,False,5.89,13.57,5.3,2.42,5.46,5.4,5.65,9.51,3.86,1,0
62,Shahpura,23.194115,77.43178,2934,5,17,3,unfurnished,1,16821947.66,16663562.2,residential,False,False,8.5,14.15,7.55,5.32,5.05,3.08,6.71,7.96,4.74,0,0
63,Misrod,23.169189,77.520049,2087,1,13,9,fully-furnished,1,13913091.53,10205270.9,residential,True,False,15.65,22.83,14.9,11.82,13.65,12.14,14.75,17.25,3.86,0,1
64,Arera Colony,23.225458,77.423131,1714,3,17,10,semi-furnished,1,14519050.27,14863795.74,premium_residential,False,False,4.92,11.14,3.96,2.23,1.94,1.53,3.24,5.87,10.0,1,0
65,MP Nagar,23.230104,77.439777,1704,3,11,19,unfurnished,0,15872371.15,15896568.33,commercial,True,False,5.15,12.25,4.32,1.39,3.47,3.21,4.15,7.53,7.37,0,0
66,Bairagarh,23.271188,77.342614,3457,2,10,6,unfurnished,1,13616311.94,13619764.69,budget,False,False,7.03,1.88,7.27,10.05,7.74,9.44,6.82,4.88,0.7,0,0
67,Govindpura,23.261928,77.46912,2874,4,5,4,semi-furnished,0,17690175.98,17829179.28,residential,False,True,5.96,13.77,5.79,4.08,7.21,7.73,6.71,11.0,3.86,1,0
68,Shamla Hills,23.237826,77.420361,1492,3,20,22,fully-furnished,0,21200112.4,21421505.0,premium_residential,False,False,3.52,10.12,2.57,1.63,1.56,2.59,2.03,5.56,3.86,0,1
69,MP Nagar,23.232875,77.429698,1550,2,2,24,unfurnished,1,11025022.45,11122013.58,commercial,False,False,4.37,11.22,3.47,1.18,2.43,2.59,3.12,6.49,7.37,0,0
70,Katara Hills,23.194266,77.450394,930,1,11,4,semi-furnished,1,5901984.6,6124411.82,residential,True,True,9.14,15.5,8.23,5.5,6.25,4.53,7.67,9.61,3.86,1,0
71,Shahpura,23.202511,77.429326,811,3,18,4,semi-furnished,0,4789766.86,4567046.61,residential,False,False,7.54,13.31,6.58,4.42,4.14,2.24,5.76,7.28,4.74,1,0
72,Nehru Nagar,23.244598,77.443183,1839,4,20,0,semi-furnished,1,8085575.64,8149333.87,residential,True,True,4.2,11.82,3.56,0.83,4.02,4.48,3.94,7.97,3.86,1,0
73,Jahangirabad,23.257201,77.392298,1201,3,6,1,unfurnished,1,3424110.59,3579699.98,budget,True,False,2.31,6.54,2.1,4.74,3.02,5.05,1.56,3.78,3.86,0,0
74,Misrod,23.17388,77.513068,1720,3,0,1,unfurnished,0,13394938.29,9654217.16,residential,False,False,14.78,21.95,14.02,10.95,12.77,11.28,13.87,16.38,3.86,0,0
75,Nehru Nagar,23.238879,77.460952,2714,5,19,0,semi-furnished,0,17588876.96,13188653.54,residential,True,True,6.05,13.74,5.47,2.62,5.66,5.58,5.84,9.71,3.86,1,0
76,Anand Nagar,23.278152,77.437076,2850,3,17,0,unfurnished,0,6161244.06,6233347.28,budget,True,True,2.85,10.25,3.22,4.01,5.93,7.37,4.57,8.81,3.86,0,0
77,Raisen Road,23.179965,77.451299,2908,2,5,15,fully-furnished,0,31222510.35,30202202.23,premium_residential,False,False,10.63,16.66,9.7,7.06,7.48,5.59,9.03,10.49,3.86,0,1
78,Ayodhya Bypass,23.278713,77.461507,1025,2,8,2,unfurnished,0,3358947.49,3221161.57,developing,True,False,5.26,12.73,5.42,4.85,7.61,8.6,6.63,10.98,0.0,0,0
79,Bairagarh,23.270613,77.349343,1320,2,4,1,unfurnished,1,5869464.11,6108000.55,budget,False,True,6.34,2.23,6.58,9.38,7.14,8.89,6.16,4.52,0.7,0,0
80,MP Nagar,23.240858,77.434622,2962,4,7,8,fully-furnished,0,27143922.21,26224537.83,commercial,True,False,3.88,11.21,3.09,0.16,3.06,3.59,3.18,7.05,7.37,0,1
81,Kolar Road,23.178767,77.42044,2516,3,5,9,unfurnished,0,15353358.48,11325724.88,budget,True,False,9.98,14.74,9.02,7.17,6.19,4.16,7.98,8.16,1.23,0,0
82,Nehru Nagar,23.241349,77.442428,2047,1,16,2,unfurnished,0,8957713.34,9156086.41,residential,True,True,4.38,11.9,3.68,0.7,3.84,4.18,3.93,7.85,3.86,0,0
83,Danish Kunj,23.218625,77.46046,2235,3,4,17,unfurnished,1,21437944.8,21773511.51,commercial,True,False,7.47,14.72,6.7,3.63,5.8,4.91,6.62,9.77,3.86,0,0
84,Jahangirabad,23.242792,77.391642,2926,4,10,1,fully-furnished,0,13134806.93,13592009.76,budget,True,False,3.49,7.44,2.86,4.5,1.83,3.7,1.55,2.82,3.86,0,1
85,Katara Hills,23.186715,77.442848,1773,2,10,1,semi-furnished,0,12686502.1,12979560.86,residential,True,False,9.62,15.53,8.68,6.17,6.36,4.45,7.95,9.36,3.86,1,0
86,Bawadia Kalan,23.205139,77.447615,1733,2,2,10,fully-furnished,1,16852777.62,17399962.03,premium_residential,True,False,7.94,14.51,7.04,4.26,5.26,3.77,6.56,8.87,3.86,0,1
87,Bairagarh,23.27085,77.335809,1326,3,13,1,semi-furnished,0,5448339.18,5399600.26,budget,True,False,7.73,1.85,7.95,10.7,8.32,9.96,7.47,5.23,0.7,1,0
88,Bittan Market,23.2606,77.430602,901,4,10,7,fully-furnished,1,7699971.88,7610054.71,commercial,True,True,2.16,9.99,1.84,2.12,3.96,5.31,2.9,7.26,3.86,0,1
89,Anand Nagar,23.27032,77.447816,1041,2,1,0,semi-furnished,1,4676237.33,4901108.27,budget,True,False,3.74,11.46,3.78,3.38,5.95,7.05,4.96,9.31,3.86,1,0
90,Govindpura,23.259891,77.481629,2786,4,8,3,semi-furnished,0,16100341.96,15628777.84,residential,False,True,7.26,15.07,7.06,5.11,8.29,8.6,7.93,12.17,3.86,1,0
91,Misrod,23.174097,77.503902,1907,3,5,4,semi-furnished,0,8031123.6,8263141.05,residential,False,False,14.11,21.17,13.33,10.27,11.96,10.42,13.12,15.52,3.86,1,0
92,Indrapuri,23.245138,77.459042,3156,3,18,4,unfurnished,0,12441783.55,12985178.89,residential,True,True,5.53,13.3,5.03,2.42,5.59,5.77,5.55,9.59,2.46,0,0
93,Piplani,23.212505,77.482644,2782,2,6,5,semi-furnished,0,8752102.4,9174006.53,budget,True,False,9.58,17.03,8.88,5.82,8.17,7.18,8.94,12.12,3.86,1,0
94,Bairagarh,23.271343,77.337777,1436,2,12,1,semi-furnished,0,4650069.45,4589243.37,budget,True,False,7.53,1.79,7.76,10.52,8.17,9.84,7.3,5.16,0.7,1,0
95,Indrapuri,23.257828,77.45902,1352,2,14,4,unfurnished,0,5381197.96,5659039.6,residential,True,False,5.02,12.87,4.76,2.97,6.08,6.67,5.61,9.88,2.46,0,0
96,Arera Colony,23.236769,77.425217,1100,2,10,9,semi-furnished,0,8264750.04,8306754.11,premium_residential,False,False,3.79,10.6,2.87,1.21,2.01,2.68,2.5,6.05,10.0,1,0
97,Bittan Market,23.258407,77.430765,1419,3,19,14,fully-furnished,1,12544078.02,12779012.36,commercial,True,True,2.28,10.08,1.87,1.88,3.79,5.09,2.82,7.18,3.86,0,1
98,Bairagarh,23.270296,77.346758,2833,2,7,9,unfurnished,0,10676061.62,10811971.59,budget,True,True,6.61,2.13,6.83,9.62,7.34,9.06,6.39,4.6,0.7,0,0
99,Jahangirabad,23.249271,77.394386,1503,1,8,6,unfurnished,1,5751201.93,5516383.37,budget,False,False,2.74,7.21,2.2,4.29,2.16,4.17,1.09,3.4,3.86,0,0
100,Piplani,23.215057,77.496446,1800,2,12,3,unfurnished,0,5478706.81,5536187.56,budget,False,True,10.53,18.15,9.91,6.91,9.47,8.58,10.1,13.47,3.86,0,0
101,Ayodhya Bypass,23.269708,77.47007,2240,2,16,4,unfurnished,0,6829552.57,6534532.44,developing,True,True,6.01,13.72,5.98,4.68,7.71,8.4,7.03,11.37,0.0,0,0
102,Shamla Hills,23.234865,77.409516,1814,4,20,23,unfurnished,0,27153927.55,28281155.5,premium_residential,False,True,3.73,9.4,2.79,2.78,0.41,2.16,1.67,4.43,3.86,0,0
103,Raisen Road,23.180736,77.437997,2492,4,2,18,semi-furnished,0,32642677.66,31510153.0,premium_residential,True,True,10.1,15.68,9.14,6.79,6.65,4.65,8.32,9.34,3.86,1,0
104,Danish Kunj,23.218303,77.455381,3159,4,9,3,fully-furnished,1,30650490.09,31886724.55,commercial,False,False,7.16,14.3,6.36,3.31,5.31,4.39,6.2,9.26,3.86,0,1
105,Nehru Nagar,23.243232,77.458684,2043,2,8,2,fully-furnished,0,10255635.69,10023140.85,residential,True,True,5.6,13.34,5.06,2.37,5.51,5.62,5.54,9.52,3.86,0,1
106,Raisen Road,23.184075,77.445651,945,4,9,5,fully-furnished,0,9391089.24,9786753.43,premium_residential,True,False,9.99,15.94,9.05,6.5,6.77,4.86,8.35,9.76,3.86,0,1
107,Kolar Road,23.170845,77.408305,2346,2,13,0,unfurnished,0,8853721.73,8659305.73,budget,True,True,10.82,14.82,9.87,8.36,6.89,4.98,8.71,8.11,1.23,0,0
108,Katara Hills,23.202125,77.443768,2403,3,9,1,semi-furnished,0,16964285.35,17193028.14,residential,False,False,8.07,14.42,7.15,4.49,5.16,3.52,6.57,8.63,3.86,1,0
109,DB City Road,23.2269,77.430288,3408,4,4,8,semi-furnished,1,33202618.44,34758627.04,commercial,True,False,5.0,11.64,4.08,1.76,2.58,2.2,3.59,6.58,3.86,1,0
110,Govindpura,23.271037,77.480056,3201,3,19,9,unfurnished,0,12597960.04,12552985.6,residential,True,False,7.04,14.71,7.01,5.57,8.67,9.24,8.05,12.38,3.86,0,0
111,Kolar Road,23.164625,77.409717,3362,4,12,0,semi-furnished,0,22225165.61,16764793.21,budget,True,False,11.5,15.49,10.56,8.97,7.58,5.65,9.4,8.77,1.23,1,0
112,Bittan Market,23.257014,77.431788,2990,5,4,11,semi-furnished,1,27015417.16,26927951.97,commercial,True,False,2.45,10.23,1.99,1.71,3.75,4.99,2.87,7.21,3.86,1,0
113,Indrapuri,23.254519,77.471201,1747,4,14,5,unfurnished,0,11651980.95,11244899.31,residential,True,True,6.32,14.17,6.03,3.9,7.09,7.39,6.8,11.0,2.46,0,0
114,Raisen Road,23.187727,77.435084,3183,4,19,5,semi-furnished,1,42884816.14,32648856.66,premium_residential,True,True,9.27,14.9,8.32,6.01,5.83,3.85,7.49,8.64,3.86,1,0
115,Raisen Road,23.177199,77.447834,927,3,12,8,fully-furnished,1,9213021.0,9318826.17,premium_residential,False,False,10.78,16.64,9.84,7.28,7.52,5.58,9.12,10.38,3.86,0,1
116,MP Nagar,23.238815,77.433496,1441,3,17,25,semi-furnished,1,12786072.03,13042653.43,commercial,True,False,4.0,11.21,3.17,0.41,2.89,3.34,3.14,6.91,7.37,1,0
117,Piplani,23.202455,77.495032,1408,3,6,1,unfurnished,0,5090839.61,5139771.04,budget,True,True,11.27,18.68,10.57,7.5,9.72,8.56,10.58,13.6,3.86,0,0
118,Bawadia Kalan,23.206255,77.449483,2349,2,4,13,unfurnished,1,29416880.12,30524587.79,premium_residential,True,False,7.92,14.58,7.04,4.21,5.35,3.91,6.6,9.01,3.86,0,0
119,Danish Kunj,23.220179,77.44767,2809,2,20,2,semi-furnished,1,20051395.32,20780289.37,commercial,True,True,6.52,13.52,5.68,2.71,4.5,3.63,5.44,8.45,3.86,1,0
120,Raisen Road,23.192893,77.43717,1393,3,8,11,fully-furnished,1,20374746.18,20056465.82,premium_residential,True,False,8.78,14.63,7.84,5.44,5.47,3.56,7.07,8.5,3.86,0,1
121,Hoshangabad Road,23.219363,77.466052,2876,2,17,13,fully-furnished,0,23170931.66,24220523.09,commercial,True,False,7.81,15.17,7.08,4.0,6.33,5.49,7.08,10.32,5.96,0,1
122,Nehru Nagar,23.234203,77.457049,3296,3,7,5,unfurnished,1,29326431.45,21012738.52,residential,True,True,6.03,13.59,5.37,2.36,5.23,4.99,5.59,9.29,3.86,0,0
123,Ayodhya Bypass,23.269852,77.468339,2474,5,18,1,unfurnished,0,9531777.07,7286081.64,developing,True,True,5.84,13.54,5.81,4.55,7.57,8.28,6.87,11.22,0.0,0,0
124,Bairagarh,23.271099,77.344138,2516,4,15,0,unfurnished,0,10173341.89,10305074.73,budget,False,False,6.88,1.94,7.11,9.9,7.61,9.32,6.68,4.8,0.7,0,0
125,Indrapuri,23.247188,77.467659,3261,4,11,4,unfurnished,0,16837358.15,16904062.43,residential,True,False,6.23,14.06,5.81,3.33,6.5,6.63,6.42,10.49,2.46,0,0
126,Bittan Market,23.2567,77.4234,2453,3,6,12,unfurnished,1,22139631.11,21617119.26,commercial,True,False,1.8,9.44,1.16,2.05,3.17,4.68,2.05,6.41,3.86,0,0
127,Bawadia Kalan,23.218736,77.443184,2047,4,1,18,fully-furnished,1,30783755.34,32386124.89,premium_residential,True,False,6.4,13.24,5.53,2.69,4.12,3.15,5.18,8.02,3.86,0,1
128,Govindpura,23.272715,77.47295,3434,4,5,2,semi-furnished,0,18952092.89,18777380.01,residential,False,False,6.33,13.96,6.34,5.12,8.14,8.84,7.42,11.77,3.86,1,0
129,MP Nagar,23.236461,77.424338,1670,1,5,11,semi-furnished,0,19771920.22,20330106.14,commercial,True,True,3.79,10.54,2.86,1.31,1.92,2.6,2.44,5.95,7.37,1,0
130,Anand Nagar,23.274613,77.44437,961,3,18,3,unfurnished,1,2728169.95,2652598.22,budget,True,False,3.45,11.04,3.64,3.72,6.05,7.3,4.9,9.23,3.86,0,0
131,DB City Road,23.223997,77.445403,2866,3,3,7,semi-furnished,1,29685743.23,30293294.92,commercial,True,False,6.04,13.1,5.2,2.23,4.15,3.48,5.0,8.16,3.86,1,0
132,Arera Colony,23.229725,77.435324,2575,2,14,11,fully-furnished,0,32231144.59,32681378.16,premium_residential,True,False,4.95,11.89,4.07,1.36,3.02,2.8,3.79,7.07,10.0,0,1
133,Jahangirabad,23.257952,77.392323,1346,3,18,3,unfurnished,0,5879227.07,4228469.3,budget,True,False,2.27,6.5,2.09,4.77,3.1,5.13,1.61,3.85,3.86,0,0
134,Bawadia Kalan,23.207637,77.45579,2661,1,13,18,fully-furnished,0,49299488.92,37756975.04,premium_residential,True,True,8.13,15.0,7.28,4.33,5.82,4.51,6.96,9.58,3.86,0,1
135,Danish Kunj,23.21274,77.459325,1431,5,15,19,unfurnished,0,8852635.42,8512285.84,commercial,False,False,7.89,14.97,7.08,4.05,5.9,4.79,6.88,9.78,3.86,0,0
136,Jahangirabad,23.246124,77.397965,1170,5,11,1,unfurnished,0,5227416.87,5195607.91,budget,True,True,2.83,7.71,2.14,3.88,1.67,3.7,0.81,3.56,3.86,0,0
137,Bairagarh,23.27111,77.336648,2875,3,8,4,unfurnished,0,8166887.43,8405528.41,budget,False,False,7.64,1.82,7.87,10.63,8.26,9.91,7.4,5.21,0.7,0,0
138,Shahpura,23.197946,77.427135,1436,3,11,6,semi-furnished,1,9638075.07,9934763.08,residential,True,False,7.98,13.52,7.02,4.96,4.44,2.46,6.13,7.33,4.74,1,0
139,Danish Kunj,23.225243,77.452097,1891,4,14,21,fully-furnished,1,20000050.37,20992651.32,commercial,True,False,6.35,13.61,5.57,2.51,4.8,4.18,5.51,8.82,3.86,0,1
140,Bawadia Kalan,23.217084,77.451974,1811,4,6,11,fully-furnished,0,20177102.97,20130140.1,premium_residential,True,False,7.05,14.08,6.22,3.23,5.02,4.03,5.99,8.94,3.86,0,1
141,Hoshangabad Road,23.217152,77.469992,3414,3,14,5,fully-furnished,0,28189584.53,28832832.07,commercial,False,False,8.27,15.65,7.54,4.47,6.78,5.88,7.55,10.76,5.96,0,1
